D98AD26B.DRM,1. Dance
1EC5849B.DRM,2. Ethereal
F9F8CF0C.DRM,3. Jazz
95768E0E.DRM,4. Latin
01A3DBCD.DRM,5. Metal
8B3F28C7.DRM,6. Percussion
977B149C.DRM,7. Rock
E981B5D1.DRM,8. Standard
263A773F.DRM,9. Voice
D7E852D5.DRM,10. Brushes
0084F15C.DRMX,11. Modern Custom
9E761BF4.DRMX,12. Soul Jazz
EE46A74E.DRMX,13. Standard Custom
8318466A.DRM,14. All the Cowbell
3EB0F6CA.DRM,15. Standard (CrowdBuddy)
